id,region,municipio,age_group,gender,income
1780,Sur,19,18-29,M,22889.33
1781,Norte,5,30-49,F,29926.55
1782,Sur,13,50+,M,18540.38
1783,Sur,15,18-29,M,18605.79
1784,Sur,13,18-29,F,24934.14
1785,Sur,12,50+,M,16346.81
1786,Sur,11,18-29,M,21078.74
1787,Sur,17,18-29,F,17957.08
1788,Sur,10,18-29,M,15123.41
1789,Norte,8,30-49,F,33368.2
1790,Sur,12,50+,M,24690.89
1791,Norte,5,18-29,F,15448.66
1792,Sur,16,50+,M,15709.26
1793,Sur,10,50+,F,21972.37
1794,Sur,15,30-49,F,20111.95
1795,Norte,3,30-49,F,28746.41
1796,Norte,3,18-29,M,23389.56
1797,Sur,13,30-49,M,21816.85
1798,Norte,7,30-49,F,24479.44
1799,Norte,8,30-49,F,24570.25
1800,Norte,4,30-49,F,24688.21
1801,Sur,10,18-29,F,13046.25
1802,Sur,16,18-29,M,12983.33
1803,Norte,8,30-49,F,29193.09
1804,Norte,6,30-49,F,30547.52
1805,Norte,2,30-49,F,30315.0
1806,Sur,15,18-29,F,9061.82
1807,Sur,20,50+,M,26310.25
1808,Norte,6,18-29,M,29392.94
1809,Norte,6,30-49,F,31993.0
1810,Norte,8,50+,M,24181.22
1811,Sur,15,18-29,M,10497.04
1812,Sur,17,30-49,F,19234.14
1813,Norte,8,50+,M,24739.49
1814,Norte,6,30-49,M,23855.17
1815,Norte,6,30-49,F,28958.39
1816,Sur,18,18-29,F,15296.4
1817,Norte,3,50+,M,22434.68
1818,Sur,10,18-29,F,9109.73
1819,Sur,16,18-29,F,11430.93
1820,Norte,6,18-29,F,19424.1
1821,Norte,2,50+,F,21909.56
1822,Norte,3,18-29,M,14890.2
1823,Sur,19,30-49,F,21762.38
1824,Sur,10,50+,M,17936.97
1825,Sur,10,30-49,M,29063.68
1826,Sur,10,30-49,M,24592.13
1827,Norte,4,30-49,F,23951.44
1828,Sur,11,30-49,F,20592.9
1829,Sur,14,18-29,F,11753.85
1830,Norte,5,18-29,F,21877.56
1831,Sur,11,18-29,M,14443.23
1832,Sur,15,50+,F,22790.12
1833,Sur,12,50+,F,21875.69
1834,Sur,10,30-49,M,16515.29
1835,Sur,18,30-49,F,26546.92
1836,Sur,20,18-29,M,14266.34
1837,Norte,1,50+,F,20799.82
1838,Norte,4,30-49,F,22415.44
1839,Sur,16,18-29,F,10400.89
1840,Norte,2,50+,M,32766.08
1841,Norte,3,18-29,F,20732.66
1842,Sur,11,50+,F,23624.21
1843,Sur,14,30-49,M,28995.35
1844,Sur,11,50+,F,25339.26
1845,Sur,17,30-49,M,11219.65
1846,Norte,5,50+,M,29671.54
1847,Norte,5,30-49,M,29384.91
1848,Norte,2,50+,F,26578.66
1849,Sur,11,18-29,M,17007.2
1850,Sur,11,50+,F,20424.14
1851,Norte,3,30-49,M,24090.5
1852,Sur,15,18-29,M,14882.52
1853,Sur,11,30-49,F,25316.09
1854,Sur,12,30-49,F,26172.16
1855,Sur,18,30-49,F,24407.22
1856,Norte,4,18-29,M,34578.3
1857,Sur,15,30-49,F,13779.75
1858,Sur,17,30-49,M,20913.92
1859,Sur,14,30-49,F,26648.05
1860,Sur,18,50+,F,16663.95
1861,Sur,19,50+,M,17921.39
1862,Sur,16,50+,M,24582.37
1863,Norte,7,18-29,M,13496.86
1864,Sur,19,18-29,M,11615.74
1865,Sur,12,50+,M,20613.37
1866,Sur,13,50+,F,17696.45
1867,Norte,4,30-49,F,21771.63
1868,Norte,5,50+,M,28667.83
1869,Norte,2,50+,M,26127.6
1870,Sur,18,30-49,F,28549.37
1871,Sur,10,50+,F,15739.01
1872,Norte,8,50+,F,26455.24
1873,Sur,16,18-29,F,8472.28
1874,Sur,9,50+,M,23644.92
1875,Sur,14,50+,F,20019.36
1876,Sur,10,18-29,M,5862.31
1877,Sur,14,50+,F,13199.64
1878,Sur,20,18-29,F,10692.74
1879,Norte,4,30-49,M,27668.73
1880,Sur,16,30-49,M,27737.04
1881,Sur,18,18-29,M,18147.44
1882,Sur,16,18-29,F,10054.67
1883,Sur,14,50+,M,10928.43
1884,Sur,20,50+,M,20493.94
1885,Norte,3,18-29,F,26356.81
1886,Sur,10,50+,M,24956.53
1887,Norte,7,30-49,M,30451.34
1888,Norte,6,18-29,F,19921.39
1889,Sur,17,18-29,M,12437.44
1890,Sur,9,50+,F,20912.73
1891,Norte,3,18-29,F,20073.6
1892,Sur,14,18-29,F,19766.01
1893,Sur,13,50+,F,19951.99
1894,Norte,5,18-29,M,22266.23
1895,Sur,10,50+,F,22675.45
1896,Sur,13,30-49,M,27438.81
1897,Sur,16,50+,M,17227.61
1898,Norte,7,18-29,F,21361.89
1899,Norte,6,30-49,F,25815.67
1900,Sur,17,18-29,M,10383.44
1901,Sur,17,30-49,F,21206.77
1902,Norte,6,30-49,F,30824.86
1903,Sur,17,30-49,F,21087.28
1904,Norte,6,30-49,M,20174.78
1905,Sur,13,30-49,M,23565.76
1906,Norte,2,18-29,F,12878.52
1907,Sur,14,18-29,M,15954.78
1908,Norte,7,30-49,M,31578.73
1909,Norte,1,30-49,F,25113.71
1910,Norte,4,18-29,F,18433.78
1911,Norte,1,50+,F,30228.35
1912,Sur,18,30-49,F,23045.12
1913,Sur,9,30-49,M,23661.42
1914,Norte,3,30-49,M,27656.87
1915,Sur,15,30-49,F,23104.25
1916,Sur,19,18-29,F,17284.44
1917,Sur,11,50+,M,24123.11
1918,Sur,17,50+,F,22423.96
1919,Norte,6,18-29,F,20208.67
1920,Sur,10,50+,M,14805.19
1921,Sur,15,50+,M,18571.03
1922,Norte,7,50+,M,24370.38
1923,Sur,15,30-49,M,27386.59
1924,Norte,5,50+,F,21988.11
1925,Sur,10,30-49,M,17823.7
1926,Norte,4,50+,F,27705.55
1927,Sur,14,50+,M,23533.74
1928,Sur,12,18-29,M,13457.88
1929,Sur,10,30-49,F,21301.5
1930,Norte,1,30-49,M,27096.12
1931,Sur,11,50+,F,26985.57
1932,Sur,19,50+,F,20783.77
1933,Sur,14,30-49,M,23769.2
1934,Sur,13,30-49,F,21363.43
1935,Sur,17,50+,M,17285.88
1936,Sur,13,18-29,F,10270.21
1937,Norte,2,50+,F,28088.41
1938,Sur,15,50+,M,23557.96
1939,Sur,14,50+,F,21563.26
1940,Norte,5,50+,M,28499.31
1941,Norte,4,50+,M,20665.86
1942,Norte,5,50+,M,25041.68
1943,Sur,19,50+,F,17541.43
1944,Sur,20,18-29,M,16748.76
1945,Sur,19,18-29,F,10457.4
1946,Sur,18,50+,F,26038.23
1947,Sur,13,18-29,F,13162.91
1948,Norte,6,30-49,M,24492.75
1949,Norte,5,18-29,M,17240.65
1950,Sur,13,30-49,F,29786.42
1951,Norte,1,50+,M,19325.41
1952,Norte,6,30-49,M,32276.29
1953,Sur,17,30-49,M,20410.27
1954,Sur,20,30-49,F,21692.09
1955,Sur,11,50+,M,18083.41
1956,Sur,15,18-29,F,16805.3
1957,Sur,16,50+,F,24694.87
1958,Sur,18,30-49,F,24589.31
1959,Sur,9,18-29,F,16478.44
1960,Sur,11,18-29,F,14880.68
1961,Norte,5,50+,F,27498.45
1962,Sur,15,30-49,M,26084.42
1963,Sur,11,50+,M,21103.58
1964,Norte,8,50+,M,35471.51
1965,Sur,13,50+,F,17661.3
1966,Sur,14,18-29,F,15254.1
1967,Norte,1,18-29,M,27626.55
1968,Norte,2,30-49,M,23733.97
1969,Norte,1,30-49,F,38459.61
1970,Norte,5,18-29,M,14008.67
1971,Norte,2,30-49,F,32762.0
1972,Sur,15,18-29,M,10105.52
1973,Norte,7,30-49,M,26452.38
1974,Sur,13,30-49,M,21496.65
1975,Norte,2,18-29,M,26689.75
1976,Sur,20,50+,F,22399.74
1977,Norte,7,30-49,M,27182.7
1978,Sur,13,30-49,M,22728.5
1979,Sur,12,18-29,M,18886.41
1980,Sur,9,30-49,F,19950.44
1981,Norte,1,30-49,F,30141.4
1982,Sur,9,50+,F,19762.53
1983,Sur,11,30-49,F,22030.07
1984,Sur,12,50+,M,25771.38
1985,Norte,4,50+,F,27850.84
1986,Norte,4,30-49,M,26857.75
1987,Sur,13,30-49,M,23292.4
1988,Sur,20,30-49,F,20991.74
1989,Sur,20,50+,M,22846.52
1990,Sur,12,30-49,F,27304.51
1991,Sur,13,18-29,F,15853.81
1992,Norte,5,50+,F,22095.5
1993,Sur,11,30-49,F,25127.37
1994,Norte,4,50+,M,21050.45
1995,Sur,14,50+,F,23578.21
1996,Sur,19,18-29,M,17921.03
1997,Sur,12,18-29,F,14863.71
1998,Norte,4,30-49,F,26855.9
1999,Norte,1,50+,M,25106.07
2000,Norte,6,18-29,F,17777.67
2001,Norte,8,30-49,M,32928.7
2002,Norte,1,50+,F,22442.08
2003,Sur,11,30-49,F,27765.22
2004,Norte,5,30-49,F,24350.14
2005,Norte,7,30-49,M,24363.76
2006,Sur,19,30-49,M,22851.77
2007,Sur,17,50+,F,21640.24
2008,Sur,18,50+,F,26679.64
2009,Norte,8,18-29,M,27209.23
2010,Sur,16,30-49,F,21969.36
2011,Norte,2,50+,F,19508.53
2012,Norte,7,50+,F,23940.91
2013,Sur,17,18-29,M,16853.36
2014,Norte,2,30-49,F,26301.68
2015,Sur,18,50+,F,24269.09
2016,Sur,14,50+,F,21509.78
2017,Norte,4,18-29,F,18473.53
2018,Sur,18,18-29,F,13860.49
2019,Norte,8,30-49,F,35465.7
2020,Sur,12,30-49,F,29020.0
2021,Sur,17,18-29,M,15617.76
2022,Sur,10,30-49,F,23608.95
2023,Sur,12,50+,M,17958.26
2024,Norte,7,30-49,M,29726.31
2025,Sur,10,30-49,F,20721.08
2026,Norte,1,30-49,M,26475.58
2027,Sur,10,50+,M,24961.16
2028,Sur,10,50+,M,12280.05
2029,Norte,6,30-49,M,24498.41
2030,Sur,11,18-29,M,9852.54
2031,Norte,8,30-49,F,27084.29
2032,Sur,15,50+,F,23807.69
2033,Sur,19,18-29,F,15555.16
2034,Sur,12,18-29,F,12052.01
2035,Sur,18,50+,F,19175.27
2036,Norte,2,30-49,M,23633.22
2037,Norte,7,30-49,F,24657.83
2038,Norte,2,18-29,F,19833.21
2039,Norte,2,50+,M,32631.59
2040,Norte,3,18-29,M,24988.41
2041,Sur,10,50+,M,21614.42
2042,Sur,12,50+,M,16604.1
2043,Sur,16,30-49,F,26590.34
2044,Norte,2,30-49,M,31806.37
2045,Sur,19,30-49,M,31764.41
2046,Sur,20,50+,M,26757.49
2047,Norte,3,30-49,F,33272.97
2048,Sur,14,30-49,M,28172.12
2049,Sur,12,30-49,M,24540.65
2050,Norte,4,30-49,F,30498.79
2051,Sur,10,18-29,F,24020.0
2052,Sur,11,18-29,M,13813.31
2053,Norte,4,30-49,F,21120.04
2054,Sur,20,30-49,M,30288.77
2055,Sur,19,30-49,M,23246.35
2056,Sur,19,18-29,F,16541.39
2057,Sur,17,50+,F,18884.8
2058,Sur,19,50+,M,23198.79
2059,Sur,13,30-49,F,24184.6
2060,Sur,15,18-29,M,13210.91
2061,Norte,5,18-29,M,20085.14
2062,Sur,9,30-49,F,17882.61
2063,Sur,9,30-49,F,27279.7
2064,Sur,14,30-49,F,21265.45
2065,Norte,8,18-29,M,22525.08
2066,Sur,15,50+,F,21228.35
2067,Norte,6,50+,M,20918.22
2068,Norte,1,50+,M,30849.21
2069,Norte,4,30-49,M,31411.38
2070,Norte,6,50+,F,27683.45
2071,Sur,10,50+,M,23694.41
2072,Sur,17,18-29,M,10116.37
2073,Norte,6,30-49,M,27600.31
2074,Sur,18,18-29,M,14548.51
2075,Sur,10,30-49,F,23179.94
2076,Sur,18,50+,M,20428.99
2077,Norte,5,30-49,M,29633.21
2078,Sur,9,50+,M,20971.17
2079,Sur,14,50+,M,27190.07
2080,Sur,19,18-29,F,13451.76
2081,Norte,3,18-29,M,16178.78
2082,Norte,6,50+,F,19258.57
2083,Sur,20,18-29,M,11029.44
2084,Sur,14,50+,M,19230.27
2085,Sur,20,30-49,M,17127.07
2086,Sur,17,30-49,F,22232.56
2087,Norte,3,18-29,F,19096.72
2088,Sur,16,50+,F,19194.69
2089,Sur,10,30-49,M,18736.91
2090,Norte,1,18-29,M,14836.67
2091,Sur,20,30-49,M,20097.84
2092,Sur,9,30-49,M,14443.8
2093,Norte,7,50+,F,27181.73
2094,Sur,11,30-49,F,23376.35
2095,Norte,2,50+,M,25124.77
2096,Sur,18,30-49,F,21445.0
2097,Sur,20,18-29,M,15465.77
2098,Sur,12,18-29,M,20282.22
2099,Sur,13,50+,M,21609.93
2100,Norte,7,18-29,F,22361.44
2101,Sur,11,18-29,M,14331.53
2102,Sur,14,50+,M,14584.94
2103,Norte,4,30-49,M,19475.64
2104,Sur,16,18-29,F,18336.66
2105,Sur,19,50+,F,23013.88
2106,Norte,5,18-29,M,15141.03
2107,Sur,9,30-49,M,16846.25
2108,Sur,13,30-49,F,24783.48
2109,Norte,3,50+,F,32132.3
2110,Sur,12,30-49,F,24822.05
2111,Norte,5,50+,F,26230.71
2112,Norte,2,18-29,F,23101.93
2113,Norte,7,18-29,M,15370.91
2114,Sur,11,30-49,F,21258.88
2115,Sur,20,18-29,M,9384.03
2116,Norte,1,30-49,F,29664.8
2117,Sur,16,18-29,M,17965.43
2118,Sur,12,18-29,M,8121.13
2119,Norte,3,50+,M,29107.49
2120,Sur,14,30-49,F,27727.59
2121,Sur,18,30-49,M,23396.03
2122,Sur,20,18-29,F,16153.37
2123,Sur,12,18-29,F,11506.8
2124,Sur,15,18-29,F,12531.46
2125,Sur,19,18-29,F,12483.91
2126,Sur,15,30-49,F,20675.1
2127,Sur,11,30-49,F,23899.35
2128,Norte,2,30-49,M,29206.23
2129,Sur,12,50+,F,17867.78
2130,Sur,18,18-29,M,17535.99
2131,Norte,6,50+,M,22235.08
2132,Norte,3,50+,F,24122.7
2133,Sur,18,50+,F,25142.47
2134,Sur,11,30-49,M,24822.59
2135,Sur,17,18-29,M,18429.71
2136,Sur,18,18-29,M,16476.48
2137,Norte,7,18-29,F,17332.31
2138,Sur,20,18-29,M,13917.04
2139,Norte,6,30-49,F,25433.97
2140,Sur,12,18-29,M,18832.3
2141,Sur,12,30-49,F,23544.48
2142,Sur,12,18-29,F,12239.0
2143,Sur,17,50+,F,28589.21
2144,Norte,4,18-29,F,27563.67
2145,Sur,18,30-49,M,35012.1
2146,Sur,11,50+,M,21800.66
2147,Sur,11,30-49,M,20569.36
2148,Norte,3,50+,F,18870.05
2149,Sur,15,30-49,M,19002.43
2150,Sur,11,30-49,M,21284.22
2151,Norte,8,30-49,M,26307.8
2152,Norte,7,18-29,M,23883.52
2153,Sur,18,50+,F,18099.4
2154,Sur,12,50+,M,20126.05
2155,Norte,8,30-49,F,35362.91
2156,Norte,5,18-29,F,22718.74
2157,Norte,4,18-29,F,18209.34
2158,Norte,5,50+,M,26855.06
2159,Sur,17,50+,M,22063.81
2160,Sur,11,30-49,F,21187.93
2161,Sur,17,18-29,F,18987.28
2162,Sur,11,30-49,M,23879.72
2163,Norte,8,18-29,M,11795.75
2164,Sur,14,30-49,F,17249.93
2165,Sur,13,50+,F,24962.27
2166,Sur,19,18-29,F,9136.99
2167,Sur,19,30-49,F,21550.51
2168,Norte,4,18-29,F,15215.17
2169,Sur,14,30-49,F,22702.08
2170,Norte,4,30-49,M,30911.9
2171,Sur,12,30-49,M,20138.11
2172,Norte,1,18-29,F,10218.34
2173,Norte,8,30-49,M,27501.51
2174,Sur,18,30-49,F,16715.49
2175,Norte,5,30-49,M,28543.07
2176,Sur,14,50+,M,23009.61
2177,Norte,7,30-49,F,31253.53
2178,Sur,17,50+,F,23526.14
2179,Sur,20,30-49,F,25875.05
2180,Sur,12,18-29,F,19885.15
2181,Norte,2,18-29,M,20247.47
2182,Norte,6,30-49,F,19377.61
2183,Norte,1,30-49,F,27968.52
2184,Norte,6,30-49,M,29188.19
2185,Sur,15,50+,M,14310.87
2186,Sur,20,30-49,F,23299.48
2187,Sur,19,50+,M,23913.71
2188,Sur,13,30-49,F,23794.53
2189,Sur,17,30-49,F,19512.24
2190,Sur,19,50+,M,20148.91
2191,Norte,8,18-29,F,15848.58
2192,Sur,17,30-49,M,20386.02
2193,Sur,9,30-49,F,26698.52
2194,Sur,20,18-29,M,14090.92
2195,Norte,2,18-29,F,18938.78
2196,Sur,11,18-29,F,12738.05
2197,Sur,20,50+,F,25805.46
2198,Sur,15,30-49,F,17872.89
2199,Sur,12,30-49,F,27443.62
2200,Norte,1,50+,M,24740.94
2201,Sur,11,30-49,F,17593.98
2202,Norte,5,50+,M,23825.92
2203,Sur,20,50+,M,18785.58
2204,Norte,7,18-29,F,18937.08
2205,Sur,9,50+,M,20712.64
2206,Sur,14,50+,F,27133.85
2207,Norte,7,50+,M,20584.29
2208,Sur,13,30-49,F,25082.05
2209,Norte,1,50+,F,30580.91
2210,Sur,16,30-49,M,21920.16
2211,Sur,20,18-29,F,12535.11
2212,Sur,15,30-49,M,29610.86
2213,Norte,6,50+,F,21447.03
2214,Sur,12,30-49,F,25619.23
2215,Sur,17,18-29,F,18841.29
2216,Norte,3,30-49,F,26069.2
2217,Sur,11,50+,M,20955.79
2218,Norte,2,50+,M,23848.26
2219,Sur,12,30-49,M,22847.34
2220,Norte,7,30-49,F,36009.05
2221,Sur,15,30-49,M,26109.98
2222,Sur,19,30-49,F,21316.59
2223,Norte,1,30-49,M,35182.61
2224,Norte,7,18-29,M,18437.2
2225,Norte,3,30-49,F,33074.88
2226,Sur,13,50+,F,25087.88
2227,Norte,7,30-49,F,29988.96
2228,Sur,15,18-29,M,11049.69
2229,Norte,5,30-49,F,34231.42
2230,Norte,7,30-49,F,33937.8
2231,Sur,9,50+,F,9957.74
2232,Norte,7,30-49,F,30001.26
2233,Sur,9,50+,M,22075.91
2234,Sur,12,30-49,F,18816.18
2235,Sur,11,50+,M,21908.42
2236,Sur,10,30-49,F,24886.89
2237,Sur,16,18-29,M,10468.26
2238,Norte,1,50+,F,27390.88
2239,Norte,5,30-49,F,25469.19
2240,Norte,1,18-29,M,16031.4
2241,Sur,15,50+,M,17145.8
2242,Norte,3,30-49,F,32149.41
2243,Sur,11,18-29,F,16929.22
2244,Sur,14,18-29,M,11665.29
2245,Sur,20,50+,F,21211.47
2246,Sur,15,50+,F,21580.99
2247,Norte,4,50+,M,24255.61
2248,Sur,18,30-49,F,22291.38
2249,Sur,19,50+,F,14385.3
2250,Norte,1,50+,M,28385.68
2251,Norte,3,18-29,F,21043.17
2252,Sur,18,50+,M,25268.42
2253,Sur,15,18-29,F,20341.54
2254,Sur,20,30-49,M,26710.67
2255,Sur,20,18-29,M,15268.38
2256,Sur,19,18-29,F,19646.94
2257,Sur,20,18-29,M,20159.25
2258,Sur,16,50+,F,22895.46
2259,Norte,1,30-49,F,28717.06
2260,Sur,18,30-49,M,25906.89
2261,Sur,11,18-29,F,17541.07
2262,Sur,16,30-49,M,25301.5
2263,Sur,14,30-49,M,18136.54
2264,Sur,10,18-29,M,16291.65
2265,Sur,10,30-49,F,25569.63
2266,Sur,14,50+,F,26357.15
2267,Sur,15,30-49,F,24800.99
2268,Sur,11,50+,M,23198.39
2269,Norte,7,30-49,F,25603.87
2270,Sur,16,50+,M,21547.5
2271,Norte,6,30-49,M,26190.07
2272,Norte,4,30-49,F,31185.22
2273,Sur,10,50+,F,18862.35
2274,Sur,13,30-49,M,17249.14
2275,Sur,20,18-29,M,11270.45
2276,Sur,13,30-49,F,27194.49
2277,Sur,18,18-29,F,15194.42
2278,Sur,17,30-49,F,27505.48
2279,Sur,9,50+,M,17927.32
2280,Norte,6,30-49,F,33808.16
2281,Norte,5,50+,F,24901.62
2282,Norte,2,30-49,F,23022.17
2283,Sur,13,18-29,F,6621.89
2284,Norte,2,50+,M,22717.37
2285,Norte,7,50+,M,24308.26
2286,Norte,6,18-29,F,16947.53
2287,Sur,12,50+,M,28660.65
2288,Norte,8,18-29,M,17327.26
2289,Sur,16,30-49,F,18362.33
2290,Norte,7,18-29,F,25205.79
2291,Sur,12,50+,F,21906.64
2292,Norte,1,30-49,F,31431.16
2293,Norte,5,30-49,M,30258.06
2294,Sur,18,50+,F,22133.18
2295,Norte,3,30-49,F,26788.22
2296,Norte,6,30-49,M,27275.86
2297,Norte,1,50+,M,27411.48
2298,Norte,7,50+,F,25900.8
2299,Norte,8,50+,F,28096.94
2300,Norte,3,50+,F,29622.36
2301,Sur,15,30-49,M,21763.04
2302,Sur,14,30-49,F,25679.77
2303,Sur,18,30-49,M,29315.76
2304,Norte,7,30-49,F,29922.15
2305,Sur,13,50+,F,16622.84
2306,Norte,4,18-29,M,21244.75
2307,Norte,8,50+,M,28873.14
2308,Sur,15,50+,F,25664.5
2309,Norte,5,30-49,F,27314.3
2310,Norte,2,30-49,F,27838.35
2311,Sur,10,50+,F,20720.43
2312,Sur,17,18-29,F,16697.08
2313,Sur,9,50+,M,23361.32
2314,Sur,18,50+,F,26738.41
2315,Sur,14,50+,F,20474.04
2316,Norte,2,18-29,M,22159.89
2317,Norte,2,50+,F,23657.95
2318,Norte,8,18-29,F,17755.12
2319,Sur,17,50+,F,23745.97
2320,Sur,15,50+,M,25981.19
2321,Sur,14,18-29,M,11072.88
2322,Sur,9,18-29,F,12283.11
2323,Sur,18,30-49,F,16362.48
2324,Norte,3,50+,F,22364.33
2325,Sur,19,18-29,F,11938.83
2326,Sur,17,30-49,F,19940.45
2327,Sur,17,18-29,M,17855.59
2328,Norte,3,18-29,F,23100.73
2329,Sur,16,30-49,F,25599.63
2330,Norte,3,50+,F,25467.53
2331,Norte,6,18-29,M,24516.11
2332,Norte,4,30-49,F,21701.54
2333,Sur,14,18-29,M,13354.63
2334,Sur,11,30-49,F,18785.41
2335,Norte,8,30-49,M,25935.22
2336,Norte,3,30-49,M,32135.83
2337,Sur,14,18-29,F,8428.52
2338,Norte,4,18-29,F,23219.33
2339,Norte,7,50+,M,15885.04
2340,Sur,19,50+,F,21634.79
2341,Sur,19,18-29,F,19508.51
2342,Norte,7,50+,F,27315.66
2343,Norte,6,50+,M,27858.9
2344,Norte,1,30-49,M,29175.09
2345,Sur,11,50+,F,23260.43
2346,Sur,14,30-49,F,24305.72
2347,Sur,11,18-29,M,12981.23
2348,Norte,3,30-49,M,26524.13
2349,Sur,18,30-49,F,25272.31
2350,Norte,2,50+,M,29934.62
2351,Sur,13,18-29,M,15932.02
2352,Sur,14,50+,M,18318.7
2353,Sur,17,30-49,F,29620.17
2354,Sur,13,50+,M,16621.11
2355,Sur,12,18-29,F,14440.43
2356,Norte,3,30-49,F,36628.96
2357,Sur,11,50+,F,23638.3
2358,Norte,5,30-49,F,24165.8
2359,Sur,15,30-49,M,18439.4
2360,Norte,4,50+,F,29477.89
2361,Norte,3,18-29,M,20984.61
2362,Sur,15,30-49,F,21310.56
2363,Norte,2,30-49,M,35890.63
2364,Sur,11,30-49,M,31104.79
2365,Sur,10,30-49,M,24616.9
2366,Norte,1,50+,F,25475.67
2367,Norte,2,50+,M,27713.01
2368,Sur,14,18-29,F,19130.39
2369,Norte,6,30-49,F,28218.55
2370,Sur,19,30-49,M,25725.28
2371,Sur,19,30-49,M,25937.09
2372,Sur,13,50+,F,21933.32
2373,Sur,15,50+,F,21951.16
2374,Sur,11,50+,F,22358.86
2375,Sur,12,30-49,M,19087.74
2376,Norte,3,30-49,M,25917.2
2377,Norte,8,30-49,F,33156.71
2378,Sur,19,18-29,F,15511.54
2379,Sur,9,30-49,F,14263.31
2380,Sur,11,30-49,F,21885.77
2381,Sur,19,30-49,F,25632.25
2382,Sur,20,50+,M,20400.93
2383,Sur,10,30-49,F,20452.21
2384,Sur,14,50+,F,25460.74
2385,Norte,7,18-29,F,23573.7
2386,Sur,10,30-49,F,30978.54
2387,Norte,8,30-49,M,25102.13
2388,Sur,15,30-49,M,22407.52
2389,Sur,11,30-49,F,18978.99
2390,Sur,14,18-29,F,18254.29
2391,Norte,8,18-29,M,22991.7
2392,Norte,7,18-29,F,19579.97
2393,Sur,10,18-29,F,15302.76
2394,Norte,1,18-29,M,11222.99
2395,Sur,16,18-29,F,14177.22
2396,Norte,1,30-49,M,29369.8
2397,Norte,2,18-29,F,20431.14
2398,Norte,1,50+,F,24660.75
2399,Sur,19,50+,M,22678.45
2400,Sur,18,50+,M,20561.13
2401,Norte,4,50+,F,26627.55
2402,Norte,8,50+,F,24662.14
2403,Sur,16,30-49,F,24132.58
2404,Norte,7,30-49,F,27808.35
2405,Sur,15,50+,M,26198.37
2406,Sur,19,30-49,F,23609.55
2407,Norte,3,30-49,F,31258.85
2408,Norte,3,50+,F,19764.96
2409,Sur,10,50+,M,24505.77
2410,Sur,12,30-49,F,18729.08
2411,Sur,20,50+,M,22334.34
2412,Norte,4,50+,M,30186.62
2413,Sur,15,50+,F,22587.27
2414,Norte,2,18-29,F,17536.28
2415,Sur,9,30-49,F,26143.21
2416,Sur,19,30-49,F,26806.65
2417,Norte,8,18-29,F,18915.14
2418,Norte,3,18-29,M,12951.14
2419,Norte,8,18-29,F,15289.0
2420,Norte,1,50+,F,19817.11
2421,Norte,6,50+,M,26826.5
2422,Norte,2,18-29,F,15661.1
2423,Sur,12,50+,M,25331.1
2424,Sur,10,50+,F,26415.2
2425,Norte,6,30-49,M,26140.89
2426,Sur,15,18-29,F,18035.98
2427,Norte,1,50+,M,30335.68
2428,Sur,13,50+,F,17064.45
2429,Norte,5,50+,F,21715.19
2430,Sur,17,18-29,M,19559.17
2431,Sur,17,18-29,F,10442.16
2432,Sur,12,30-49,F,22143.78
2433,Sur,11,50+,F,22287.72
2434,Norte,7,30-49,M,26114.04
2435,Sur,12,30-49,F,31211.48
2436,Norte,3,30-49,F,32274.56
2437,Norte,4,50+,F,27458.86
2438,Norte,2,30-49,M,26644.57
2439,Sur,19,18-29,M,11848.42
2440,Norte,4,50+,M,31155.2
2441,Sur,15,30-49,F,22192.55
2442,Sur,9,18-29,M,20915.41
2443,Sur,16,18-29,F,9324.85
2444,Sur,20,30-49,M,24241.62
2445,Sur,14,18-29,M,11892.17
2446,Norte,2,50+,M,24957.13
2447,Norte,8,50+,M,25717.3
2448,Norte,6,30-49,M,20697.31
2449,Norte,8,50+,F,24876.51
2450,Norte,6,50+,F,24150.04
2451,Norte,7,30-49,M,29461.93
2452,Sur,17,30-49,F,18489.64
2453,Sur,15,50+,M,26816.86
2454,Norte,3,18-29,F,17449.38
2455,Sur,9,50+,M,20530.06
2456,Norte,4,18-29,F,24844.21
2457,Sur,18,50+,F,22012.36
2458,Sur,12,50+,M,22249.59
2459,Sur,16,30-49,M,24887.98
2460,Sur,12,30-49,F,22241.04
2461,Sur,18,30-49,M,25454.12
2462,Sur,14,50+,M,23139.24
2463,Sur,9,18-29,M,21694.79
2464,Sur,14,30-49,F,22798.08
2465,Sur,9,18-29,F,9949.76
2466,Norte,1,30-49,F,24585.24
2467,Norte,3,30-49,M,20147.46
2468,Norte,3,50+,F,26913.71
2469,Sur,18,30-49,M,17757.75
2470,Sur,18,50+,M,25214.5
2471,Norte,4,50+,M,31123.9
2472,Sur,10,18-29,F,14088.92
2473,Sur,14,18-29,M,9125.7
2474,Sur,18,18-29,F,14437.82
2475,Sur,19,30-49,M,22575.05
2476,Sur,13,30-49,M,22089.89
2477,Norte,8,50+,F,24921.7
2478,Sur,19,50+,M,25972.88
2479,Norte,2,30-49,F,22996.25
2480,Sur,15,30-49,F,25458.49
2481,Norte,6,18-29,M,23454.08
2482,Sur,12,30-49,F,22451.0
2483,Sur,12,18-29,F,17541.21
2484,Norte,4,18-29,M,17600.19
2485,Sur,19,50+,M,23054.07
2486,Sur,12,18-29,F,15476.54
2487,Sur,10,50+,M,23906.69
2488,Sur,11,30-49,F,30764.11
2489,Sur,16,30-49,M,19063.83
